Id;Name;StartDate;EndDate;Status;Error;Metrics
34272f45-dfe1-44a7-ba88-ba659464ad7a;PostTagProcessingJob;2026-04-14 10:58:21.657334+00;"";0;"";"
                Суммарное количество протегированных постов: 150
                Доля успешных обработок постов: 99.33%
                Доля постов с 2-4 тегами: 0.67%
                Доля постов с 1 тегом: 0.00%
                Доля сломанных постов (0 тегов): 0.00%
                Среднее время от появления поста до тегирования: 15.5 мин
                LLM запросов: 150
                (Временные метрики будут доступны после завершения)"
c53b0b8e-eefe-42e1-8ff9-211c5e056e45;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 10:49:18.440362+00;"";0;"";"Суммарное количество обработанных постов: 60
Среднее количество комментариев на один пост: 10.00
Среднее время LLM запроса (мс): 2419.88
Суммарное время выполнения всех LLM-запросов (мс): 145193.00 мс
Общее количество выполненных LLM-запросов: 60"
"0918a6f7-6c04-4bf8-be2a-735557dfdb2a";ClusterCommentTrendProcessingJob;2026-04-14 10:43:07.685328+00;"";0;"";"Суммарное количество обработанных инфоповодов: 515
                    Всего проанализировано комментариев: 4182
                    Среднее количество комментариев на инфоповод: 8.12
                    Количество LLM запросов: 184
                    Суммарное время LLM: 465324 мс
                    Среднее время LLM запроса: 2528.9 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 1.63%"
"05451668-c30b-4387-a833-0c01b2404a61";PostEmotionalAnalysisProcessingJob;2026-04-14 10:42:50.195434+00;"";0;"";""
fd119714-38d8-43a6-81bd-50960f069dfb;PostTagProcessingJob;2026-04-14 10:39:56.102494+00;2026-04-14 10:58:21.654319+00;1;"";"
            Суммарное количество протегированных постов: 1498
            Доля успешных обработок постов: 98.93%
            Доля постов с 2-4 тегами: 0.60%
            Доля постов с 1 тегом: 0.33%
            Доля сломанных постов (0 тегов): 0.13%
            Доля протегированных новых постов за два дня: 77.42%
            Среднее время от появления поста до тегирования: 30.1 мин
            БД:           1.02% / ( 11315 мс / 1521 запросов)
            OpenSearch:   0.29% / (  3155 мс /  69 запросов)
            LLM:         85.42% / (944321 мс / 1500 запросов)
            Среднее время LLM запроса: 629.5 мс"
b23ada87-1bef-4f9e-992b-45dd7ad97338;TelegramPostCommentTrendProcessingJob;2026-04-14 10:29:56.788797+00;"";0;"";""
"0475efa6-19cf-471c-9a19-2af31bb8ed06";ClusterCommentTrendProcessingJob;2026-04-14 10:24:38.330707+00;2026-04-14 10:43:07.532137+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8456
                    Среднее количество комментариев на инфоповод: 8.46
                    Количество LLM запросов: 395
                    Суммарное время LLM: 840659 мс
                    Среднее время LLM запроса: 2128.3 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 3.04%"
8a5d7ed5-7b51-408f-ac0a-41e723d61c43;PostTagProcessingJob;2026-04-14 10:24:35.400178+00;2026-04-14 10:39:56.097181+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.07%
            Доля постов с 2-4 тегами: 1.47%
            Доля постов с 1 тегом: 0.47%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 77.24%
            Среднее время от появления поста до тегирования: 23.6 мин
            БД:           1.21% / ( 11131 мс / 1521 запросов)
            OpenSearch:   0.34% / (  3105 мс /  69 запросов)
            LLM:         95.19% / (876392 мс / 1500 запросов)
            Среднее время LLM запроса: 584.3 мс"
accb94c2-b5d1-41ac-892e-6f7510732955;ClusterizationJob;2026-04-14 10:11:57.522468+00;2026-04-14 10:11:57.529271+00;1;"";""
153a6456-8050-4ac8-984a-321ed69e7fc6;PostTagProcessingJob;2026-04-14 10:07:41.832328+00;2026-04-14 10:24:35.395278+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.27%
            Доля постов с 2-4 тегами: 1.07%
            Доля постов с 1 тегом: 0.67%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 77.01%
            Среднее время от появления поста до тегирования: 55.3 мин
            БД:           1.27% / ( 12851 мс / 1521 запросов)
            OpenSearch:   0.35% / (  3543 мс /  69 запросов)
            LLM:         95.61% / (969053 мс / 1500 запросов)
            Среднее время LLM запроса: 646.0 мс"
